giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Reece James,Chelsea,CEN,MEZZALA,290.0,-0.3183,-0.3308,-0.3308,-0.3414,-0.3308,-0.2077,0.1873,12.2852,,,,,,,0,0.25,,-0.5,-0.25,0.078,0.0155,0.9687,0.11,,26.79,0.506,5,4,1,0,,224,216,113,184,151,137,-0.5488,-0.7806,,,,-0.6153,-0.0342,
Oscar Bobb,Fulham,ATT,ALA,356.0,-0.3208,-0.488,-0.488,-0.4793,-0.488,-0.1799,0.4691,18.4038,,,,,,,0,0.49,,-0.7,-0.49,0.124,0.2579,1.0593,0.2971,-0.139,23.2,0.7491,5,5,0,0,,225,208,56,184,40,137,-0.6416,-0.3557,,,,-0.7019,1.0692,
Jacob Greaves,Ipswich,DIF,CENTRALE,360.0,-0.322,-0.3796,-0.3796,-0.377,-0.3796,-0.2137,0.1212,12.2851,,,,,,,0,0.0,,,0.0,0.0,0.0125,1.0094,0.0,,26.02,0.579,5,4,0,0,,226,221,206,184,124,137,-1.0935,-0.7649,,,,,0.3813,
Milos Kerkez,Liverpool,DIF,TERZINO,387.0,-0.3224,-0.1444,-0.1444,-0.1417,-0.1444,-0.1611,0.1225,11.2825,,,,,,,0,0.08,,-0.2828,-0.08,0.019,0.0093,1.029,0.0289,0.162,22.87,0.7561,5,5,0,0,,227,198,204,184,26,137,-1.0288,-1.1679,,,,-0.1393,1.2071,
Lewis Miley,Newcastle United,CEN,MEDIANO,405.0,-0.3265,-0.1767,-0.1767,-0.1858,-0.1767,-0.1449,0.1735,13.4178,,,,,,,0,0.05,,-0.2236,-0.05,0.011,0.0311,0.8979,0.0466,0.099,20.39,0.747,5,5,0,0,,228,190,136,184,44,137,-1.1653,-0.4117,,,,-0.0082,1.0974,
Diego Gómez,Brighton,ATT,ALA,442.0,-0.3352,-0.6633,-0.6633,-0.6559,-0.6633,-0.2158,0.4922,18.6961,,,,,,,0,1.22,0.0,-1.1045,-1.22,0.248,0.2586,1.0173,0.4369,-0.126,23.49,0.7446,5,5,0,0,,229,223,33,77,48,137,0.0485,-0.2922,,,-1.1645,-1.2558,1.0442,
Ellis Simms,Coventry,ATT,CENTRAVANTI,105.0,-0.3378,-0.3327,-0.3327,-0.3127,-0.3327,-0.2099,,,,,,,,,0,0.49,,-0.7,-0.49,0.42,0.0171,0.719,0.0,,25.71,0.6075,5,3,0,0,,230,218,245,184,116,137,,,,,,-0.7019,0.2828,
Malo Gusto,Chelsea,CEN,MEZZALA,274.0,-0.34,-0.1778,-0.1778,-0.1888,-0.1778,-0.2176,0.1798,11.2881,,,,,,,0,0.07,,-0.2646,-0.07,0.023,0.0099,0.9687,0.0675,,23.34,0.7474,5,4,0,0,,231,224,130,184,43,137,-0.8851,-1.1053,,,,-0.0982,1.0993,
Xaver Schlager,Nottingham Forest,CEN,MEZZALA,374.0,-0.3401,-0.3486,-0.3486,-0.3582,-0.3486,-0.27,0.1749,11.4939,,,,,,,0,0.17,,-0.4123,-0.17,0.041,0.0048,1.0266,0.0407,0.071,28.98,0.304,5,5,0,0,,232,241,134,184,219,137,-1.1038,-1.0383,,,,-0.4227,-0.9826,
Mikkel Damsgaard,Brentford,ATT,TREQUARTISTA,287.0,-0.3417,-0.0871,-0.0871,-0.0771,-0.0871,-0.2112,0.4726,14.8085,,,,,,,0,0.14,,-0.3742,-0.14,0.044,0.323,1.0208,0.5067,0.082,26.22,0.5602,5,5,0,0,,233,219,51,184,132,137,-0.538,-1.1368,,,,-0.2557,0.0201,
Wesley Fofana,Chelsea,DIF,CENTRALE,320.0,-0.3429,-0.3693,-0.3693,-0.3664,-0.3693,-0.2179,0.1228,11.9513,,,,,,,0,0.0,,,0.0,0.0,0.0084,0.879,0.0,,25.76,0.603,5,4,0,0,,234,225,202,184,118,137,-1.0096,-0.8991,,,,,0.4932,
Brenden Aaronson,Leeds,CEN,TREQUARTISTA,198.0,-0.3433,-0.1369,-0.1369,-0.1504,-0.1369,-0.2081,0.1829,11.3599,,,,,,,0,0.02,,-0.1414,-0.02,0.009,0.0,0.9901,0.0051,0.19,25.91,0.5893,5,5,0,0,,235,217,124,184,122,137,-0.7463,-1.0819,,,,0.1724,0.3569,
Jérémy Jacquet,Liverpool,DIF,CENTRALE,421.0,-0.3558,-0.3459,-0.3459,-0.3433,-0.3459,-0.1697,0.1182,10.9861,,,,,,,0,0.0,,,0.0,0.0,0.0128,1.029,0.0117,-0.122,21.19,0.7717,5,5,0,0,,236,204,213,184,17,137,-1.2464,-1.2871,,,,,1.2799,
Sean Steur,Newcastle United,CEN,MEDIANO,228.0,-0.3615,-0.4216,-0.4216,-0.4343,-0.4216,-0.1428,0.1852,13.0188,,,,,,,0,0.0,,,0.0,0.0,0.0474,0.8979,0.0433,0.427,18.69,0.6732,5,5,0,0,,237,188,120,184,90,137,-0.6419,-0.5417,,,,,0.7509,
Ronald Araújo,Liverpool,DIF,TERZINO,282.0,-0.3622,-0.3502,-0.3502,-0.3469,-0.3502,-0.2218,0.1236,10.6897,,,,,,,0,0.0,,,0.0,0.0,0.0,1.029,0.0,,25.11,0.6586,5,5,0,0,,238,226,199,184,94,137,-0.9702,-1.4062,,,,,0.7525,
